Product Name,Contributor,"EAN 
Product Code ",Order,Ship,BO,Disc. %,Line Level PO,US SRP
Regeneration: Ending the Climate Crisis in One Generation ,"Hawken, Paul","9780143136972 
9780143136972 ",2,2,0,40,N/A ,25
What Tech Calls Thinking: An Inquiry Into the Intellectual Bedrock of Silicon Valley ,"Daub, Adrian","9780374538644 
9780374538644 ",5,5,0,42,N/A ,15
Braiding Sweetgrass ,"Kimmerer, Robin Wall","9781571313560 
9781571313560 ",2,0,2,40,N/A ,20
"How to Forage for Mushrooms Without Dying: An Absolute Beginner's Guide to Identifying 29 Wild, Edible Mushrooms ","Hyman, Frank","9781635863321 
9781635863321 ",4,0,4,40,N/A ,16.95
"Josef Frank - Against Design: The Architect's Anti-Formalist Oeuvre / Das Anti-Formalistische Werk Des Architekten (2., Uberarbeitete Auflage / 2nd, R ","Thun-Hohenstein, Christoph","9783035624724 
9783035624724 ",1,0,1,40,N/A ,62.99
Tomorrow Is Too Late: An International Youth Manifesto for Climate Justice ,"Maddrell, Grace","9781911648321 
9781911648321 ",1,0,1,40,N/A ,17.95
Voices from the Valley: Tech Workers Talk about What They Do--And How They Do It ,"Tarnoff, Ben","9780374538675 
9780374538675 ",3,0,3,40,N/A ,15
Climate Shock: The Economic Consequences of a Hotter Planet (Revised) ,"Wagner, Gernot","9780691171326 
9780691171326 ",1,1,0,40,N/A ,18.95
"Coding Democracy: How Hackers Are Disrupting Power, Surveillance, and Authoritarianism ","Webb, Maureen","9780262542289 
9780262542289 ",2,2,0,40,N/A ,17.95
"Field Guide to Urban Gardening: How to Grow Plants, No Matter Where You Live: Raised Beds - Vertical Gardening - Indoor Edibles - Balconies and Roofto ","Espiritu, Kevin","9780760363966 
9780760363966 ",2,2,0,40,N/A ,27.99
"The Hidden Life of Trees: What They Feel, How They Communicate--Discoveries from a Secret World ","Wohlleben, Peter","9781771642484 
9781771642484 ",1,1,0,40,N/A ,24.95
The Idealist: Aaron Swartz and the Rise of Free Culture on the Internet ,"Peters, Justin","9781476767741 
9781476767741 ",1,1,0,30,N/A ,18
Machine Learning Pocket Reference: Working with Structured Data in Python ,"Harrison, Matt","9781492047544 
9781492047544 ",1,1,0,40,N/A ,24.99
Network Aesthetics ,"Jagoda, Patrick","9780226346519 
9780226346519 ",1,1,0,0,N/A ,27.5
People I've Met from the Internet ,"Van Dyck, Stephen","9781938900259 
9781938900259 ",2,2,0,25,N/A ,16
Python Pocket Reference: Python in Your Pocket ,"Lutz, Mark","9781449357016 
9781449357016 ",1,1,0,40,N/A ,19.99
How to Save Our Planet: The Facts ,"Maslin, Mark A","9780241472521 
9780241472521 ",6,0,6,42,N/A ,15.95
The New Climate War: The Fight to Take Back Our Planet ,"Mann, Michael E","9781541758216 
9781541758216 ",1,0,1,40,N/A ,18.99
Urban Botanics: An Indoor Plant Guide for Modern Gardeners ,"Sibley, Emma","9780711268678 
9780711268678 ",3,0,3,40,N/A ,18
"Foraging Pennsylvania and New Jersey: Finding, Identifying, and Preparing Edible Wild Foods ","Naha-Koretzky, Debbie","9781493056279 
9781493056279 ",10,10,0,42,N/A ,22.95
Less Is More: How Degrowth Will Save the World ,"Hickel, Jason","9781786091215 
9781786091215 ",8,0,8,42,N/A ,19.95
Intersectional Tech: Black Users in Digital Gaming ,"Gray, Kishonna L","9780807174555 
9780807174555 ",1,1,0,10,N/A ,30
The Moscow Puzzles: 359 Mathematical Recreations (Revised) ,"Kordemsky, Boris A","9780486270784 
9780486270784 ",5,5,0,42,N/A ,15.95
Tree Crops: A Permanent Agriculture ,"Smith, J Russell","9781951682095 
9781951682095 ",1,1,0,20,N/A ,22.95
Linux Pocket Guide: Essential Commands ,"Barrett, Daniel J","9781491927571 
9781491927571 ",2,2,0,40,N/A ,19.99
The Shock Doctrine: The Rise of Disaster Capitalism ,"Klein, Naomi","9780312427993 
9780312427993 ",1,1,0,40,N/A ,22
CSS Pocket Reference: Visual Presentation for the Web ,"Meyer, Eric A","9781492033394 
9781492033394 ",1,1,0,40,N/A ,16.99
Death of a Pirate: British Radio and the Making of the Information Age ,"Johns, Adrian","9780393341805 
9780393341805 ",1,1,0,36,N/A ,24
HTML and CSS: Visual QuickStart Guide ,"Casabona, Joe","9780136702566 
9780136702566 ",1,1,0,40,N/A ,39.99
Proofs and Refutations ,"Lakatos, Imre","9781107534056 
9781107534056 ",1,1,0,40,N/A ,25.99
Python Pocket Reference: Python in Your Pocket ,"Lutz, Mark","9781449357016 
9781449357016 ",1,1,0,40,N/A ,19.99
Wageless Life: A Manifesto for a Future Beyond Capitalism ,"Shaw, Ian G R","9781517909260 
9781517909260 ",2,0,2,0,N/A ,10
"Urban Foraging: Find, Gather, and Cook 50 Wild Plants ","Rose, Lisa M","9781643260839 
9781643260839 ",1,0,1,40,N/A ,19.95
The Dawn of Everything: A New History of Humanity ,"Graeber, David","9780374157357 
9780374157357 ",8,0,8,42,N/A ,35
"Foraging Pennsylvania and New Jersey: Finding, Identifying, and Preparing Edible Wild Foods ","Naha-Koretzky, Debbie","9781493056279 
9781493056279 ",4,4,0,40,N/A ,22.95
The Moscow Puzzles: 359 Mathematical Recreations (Revised) ,"Kordemsky, Boris A","9780486270784 
9780486270784 ",2,2,0,40,N/A ,15.95
The Dawn of Everything: A New History of Humanity ,"Graeber, David","9780374157357 
9780374157357 ",2,0,2,40,N/A ,35
Sensoria: Thinkers for the Twentieth-First Century ,"Wark, McKenzie","9781788735063 
9781788735063 ",1,0,1,40,N/A ,24.95
What Tech Calls Thinking: An Inquiry Into the Intellectual Bedrock of Silicon Valley ,"Daub, Adrian","9780374538644 
9780374538644 ",2,0,2,40,N/A ,15
